cell,gain,vol,tod,horizon,n,wr,wr_net,avg,median,exp_net
<10%|low|10:00-12:00,<10%,low,10:00-12:00,h15,12,0.6666666666666666,0.6666666666666666,0.010901452093115141,0.009451252872305497,0.008901452093115141
10-20%|low|12:00-14:00,10-20%,low,12:00-14:00,h15,571,0.5901926444833625,0.5656742556917689,0.008920863177243055,0.005434782608695698,0.006920863177243055
<10%|low|09:30-10:00,<10%,low,09:30-10:00,h15,35,0.6285714285714286,0.6285714285714286,0.008346015932084198,0.0050761421319797375,0.006346015932084198
20%+|med|10:00-12:00,20%+,med,10:00-12:00,h15,575,0.5269565217391304,0.5008695652173913,0.007962212304562925,0.0020325203252031365,0.005962212304562925
20%+|low|14:00-16:00,20%+,low,14:00-16:00,h15,384,0.5572916666666666,0.5442708333333334,0.006807200044272557,0.004278314664323988,0.004807200044272557
20%+|low|10:00-12:00,20%+,low,10:00-12:00,h15,449,0.49888641425389757,0.48552338530066813,0.0059195408190695535,0.0,0.0039195408190695535
20%+|med|14:00-16:00,20%+,med,14:00-16:00,h15,973,0.5529290853031861,0.5087358684480987,0.005354877586918855,0.002298850574712676,0.0033548775869188547
20%+|med|12:00-14:00,20%+,med,12:00-14:00,h15,855,0.5380116959064327,0.5029239766081871,0.005262582213846976,0.0021105951878428518,0.0032625822138469757
10-20%|low|10:00-12:00,10-20%,low,10:00-12:00,h15,970,0.5288659793814433,0.5,0.005261988246160724,0.002002855635970653,0.003261988246160724
20%+|high|09:30-10:00,20%+,high,09:30-10:00,h15,54,0.35185185185185186,0.3333333333333333,0.004692560095538846,-0.01763133030990176,0.002692560095538846
10-20%|low|09:30-10:00,10-20%,low,09:30-10:00,h15,577,0.511265164644714,0.4904679376083189,0.0034705437366724435,0.0011534025374855168,0.0014705437366724435
20%+|low|12:00-14:00,20%+,low,12:00-14:00,h15,373,0.5067024128686327,0.4906166219839142,0.0032832951891382535,0.0012820512820512547,0.0012832951891382535
20%+|high|14:00-16:00,20%+,high,14:00-16:00,h15,1375,0.5069090909090909,0.45381818181818184,0.0024095183476825917,0.0005316321105795621,0.0004095183476825917
10-20%|med|10:00-12:00,10-20%,med,10:00-12:00,h15,1325,0.5298113207547169,0.4928301886792453,0.002332197078490563,0.0017355085039916943,0.0003321970784905628
20%+|low|09:30-10:00,20%+,low,09:30-10:00,h15,154,0.5064935064935064,0.474025974025974,0.0022140655453104737,0.0005495850246803452,0.0002140655453104737
20%+|high|12:00-14:00,20%+,high,12:00-14:00,h15,1155,0.5281385281385281,0.47965367965367967,0.002050405753889942,0.0012108980827447483,0.00005040575388994212
<10%|high|12:00-14:00,<10%,high,12:00-14:00,h15,72,0.4583333333333333,0.2777777777777778,0.0013382715640510364,0.0,-0.0006617284359489637
10-20%|high|09:30-10:00,10-20%,high,09:30-10:00,h15,253,0.47035573122529645,0.4268774703557312,0.0012444412372855393,-0.0010349429419614768,-0.0007555587627144607
10-20%|med|12:00-14:00,10-20%,med,12:00-14:00,h15,1193,0.4979044425817267,0.44425817267393125,0.0009634710032695513,0.0,-0.0010365289967304487
10-20%|med|09:30-10:00,10-20%,med,09:30-10:00,h15,398,0.457286432160804,0.4371859296482412,0.0007873503107430177,-0.0021135203660009845,-0.0012126496892569823
10-20%|high|10:00-12:00,10-20%,high,10:00-12:00,h15,1617,0.5213358070500927,0.4588744588744589,0.0004940208916756256,0.0006160274266122813,-0.0015059791083243744
