day,ticker,rk,nbar,open0,g40,g45,g50,g00,pos40,pos50,pos00,traj,g_early,g_late,accel,vwap_dist,mins_since_hi,dd_from_hi,pullbacks,diff45,diff00,widen,dvol_acc,fwd,hit,fade,last_tod,nwbars,_b,_dd
2025-03-04,MULN,1,278,2.03,0.0591133004926109,0.0837438423645322,0.1527093596059114,0.1428571428571428,19.0,3.0,1.0,rising,0.0837438423645322,0.0545454545454544,-0.0291983878190777,-0.0086811357901821,8,-0.0901960784313725,0,-0.0637149980076938,0.0140692640692641,0.0777842620769579,2.959815971920772,-0.064655172413793,0,1,1259,26,T2-mid,5-10%
2025-03-04,CLEU,2,155,2.64,0.0340909090909089,0.0909090909090908,0.1666666666666667,0.1287878787878786,34.0,1.0,2.0,rising,0.0909090909090908,0.0347222222222223,-0.0561868686868685,0.0276154661141148,12,-0.047923322683706,0,-0.0565497494631352,-0.0140692640692641,0.0424804853938711,0.0651029191407495,0.1812080536912752,1,0,1259,16,T3-hi,2-5%
2025-03-04,RAPP,3,292,6.69,0.10762331838565,0.0866965620328847,0.1360239162929744,0.1240657698056799,6.0,5.0,3.0,stable,0.0866965620328847,0.0343878954607979,-0.0523086665720868,0.0891454791051011,8,-0.0505050505050505,0,-0.0607622783393413,-0.0187913730514628,0.0419709052878785,-0.6052238391661083,0.3257978723404258,1,0,1259,12,T3-hi,5-10%
2025-03-04,YMAB,4,225,4.38,0.0102739726027396,0.0890410958904108,0.1324200913242008,0.1210045662100456,45.0,6.0,4.0,rising,0.0890410958904108,0.029350104821803,-0.0596909910686078,0.0603914079973342,6,-0.0238568588469184,1,-0.0584177444818152,-0.0218525766470971,0.036565167834718,-0.3768697579358964,0.010183299389002,1,0,1259,25,T3-hi,2-5%
2025-03-04,LAES,5,355,2.03,0.0935960591133007,0.0935960591133007,0.1133004926108374,0.1182266009852217,8.0,9.0,5.0,stable,0.0935960591133007,0.0225225225225225,-0.0710735365907782,0.0386993999779994,5,-0.0299145299145298,2,-0.0538627812589254,-0.024630541871921,0.0292322393870043,-0.376117005740146,0.0616740088105727,1,0,1259,31,T3-hi,2-5%
2025-03-17,ARQQ,1,262,18.8,0.0372340425531914,0.0595744680851064,0.0680851063829786,0.1313829787234042,5.0,3.0,1.0,stable,0.0595744680851064,0.0677710843373493,0.0081966162522428,0.0478788301927413,0,-0.0220689655172413,1,-0.0395756735579531,0.0245494849794196,0.0641251585373727,1.5739654001837855,0.1133051245886225,1,0,1199,29,T2-mid,2-5%
2025-03-17,VTVT,2,140,20.78,0.046679499518768,0.046679499518768,0.0442733397497592,0.1068334937439845,3.0,14.0,2.0,stable,0.046679499518768,0.0574712643678161,0.010791764849048,0.0284533121238017,0,-0.0191897654584221,0,-0.0524706421242915,-0.0245494849794196,0.0279211571448718,2.8226415053272818,-0.011304347826087,0,1,1199,10,T2-mid,0-2%
2025-03-17,BHAT,3,130,2.06,0.0533980582524271,0.0388349514563106,0.0825242718446601,0.0873786407766992,2.0,2.0,3.0,stable,0.0388349514563106,0.0467289719626169,0.0078940205063062,0.0188683542643073,6,-0.0260869565217389,0,-0.0603151901867489,-0.044004337946705,0.0163108522400439,1.040406424784257,0.1294642857142856,1,0,1199,18,T2-mid,2-5%
2025-03-17,QUBT,4,330,7.855,0.0190961171228516,0.0350095480585614,0.0598345003182685,0.0770210057288351,16.0,6.0,4.0,rising,0.0350095480585614,0.0405904059040589,0.0055808578454974,0.033005865315814,0,-0.0047058823529411,0,-0.064140593584498,-0.054361972994569,0.009778620589929,0.0690988792429878,-0.0531914893617022,0,1,1199,31,T1-lo,0-2%
2025-03-17,HSAI,5,322,20.58,0.031098153547133,0.05466472303207,0.0670553935860058,0.0762876579203108,8.0,4.0,5.0,stable,0.05466472303207,0.0205021884358442,-0.0341625345962257,0.0260232121103876,11,-0.0018026137899955,0,-0.0444854186109895,-0.0550953208030933,-0.0106099021921037,-0.1115429638772954,0.0067720090293454,0,0,1199,31,T2-mid,0-2%
